ESIID,Start Time, End Time, Usage(kWh), Act./Est., Consumption/Generation
1.0089E+21, 12:00 am, 12:15 am,0.184,Actual,Consumption
1.0089E+21, 12:15 am, 12:30 am,0.149,Actual,Consumption
1.0089E+21, 12:30 am, 12:45 am,0.137,Actual,Consumption
1.0089E+21, 12:45 am, 01:00 am,0.086,Actual,Consumption
1.0089E+21, 01:00 am, 01:15 am,0.137,Actual,Consumption
1.0089E+21, 01:15 am, 01:30 am,0.138,Actual,Consumption
1.0089E+21, 01:30 am, 01:45 am,0.134,Actual,Consumption
1.0089E+21, 01:45 am, 02:00 am,0.08,Actual,Consumption
1.0089E+21, 02:00 am, 02:15 am,0.128,Actual,Consumption
1.0089E+21, 02:15 am, 02:30 am,0.139,Actual,Consumption
1.0089E+21, 02:30 am, 02:45 am,0.133,Actual,Consumption
1.0089E+21, 02:45 am, 03:00 am,0.087,Actual,Consumption
1.0089E+21, 03:00 am, 03:15 am,0.127,Actual,Consumption
1.0089E+21, 03:15 am, 03:30 am,0.14,Actual,Consumption
1.0089E+21, 03:30 am, 03:45 am,0.113,Actual,Consumption
1.0089E+21, 03:45 am, 04:00 am,0.063,Actual,Consumption
1.0089E+21, 04:00 am, 04:15 am,0.112,Actual,Consumption
1.0089E+21, 04:15 am, 04:30 am,0.251,Actual,Consumption
1.0089E+21, 04:30 am, 04:45 am,0.079,Actual,Consumption
1.0089E+21, 04:45 am, 05:00 am,0.11,Actual,Consumption
1.0089E+21, 05:00 am, 05:15 am,0.132,Actual,Consumption
1.0089E+21, 05:15 am, 05:30 am,0.139,Actual,Consumption
1.0089E+21, 05:30 am, 05:45 am,0.14,Actual,Consumption
1.0089E+21, 05:45 am, 06:00 am,0.139,Actual,Consumption
1.0089E+21, 06:00 am, 06:15 am,0.139,Actual,Consumption
1.0089E+21, 06:15 am, 06:30 am,0.223,Actual,Consumption
1.0089E+21, 06:30 am, 06:45 am,0.179,Actual,Consumption
1.0089E+21, 06:45 am, 07:00 am,0.123,Actual,Consumption
1.0089E+21, 07:00 am, 07:15 am,0.101,Actual,Consumption
1.0089E+21, 07:15 am, 07:30 am,0.149,Actual,Consumption
1.0089E+21, 07:30 am, 07:45 am,0.146,Actual,Consumption
1.0089E+21, 07:45 am, 08:00 am,0.109,Actual,Consumption
1.0089E+21, 08:00 am, 08:15 am,0.086,Actual,Consumption
1.0089E+21, 08:15 am, 08:30 am,0.098,Actual,Consumption
1.0089E+21, 08:30 am, 08:45 am,0.098,Actual,Consumption
1.0089E+21, 08:45 am, 09:00 am,0.028,Actual,Consumption
1.0089E+21, 09:00 am, 09:15 am,0,Actual,Consumption
1.0089E+21, 09:15 am, 09:30 am,0,Actual,Consumption
1.0089E+21, 09:30 am, 09:45 am,0,Actual,Consumption
1.0089E+21, 09:45 am, 10:00 am,0,Actual,Consumption
1.0089E+21, 10:00 am, 10:15 am,0,Actual,Consumption
1.0089E+21, 10:15 am, 10:30 am,0,Actual,Consumption
1.0089E+21, 10:30 am, 10:45 am,0,Actual,Consumption
1.0089E+21, 10:45 am, 11:00 am,0,Actual,Consumption
1.0089E+21, 11:00 am, 11:15 am,0,Actual,Consumption
1.0089E+21, 11:15 am, 11:30 am,0,Actual,Consumption
1.0089E+21, 11:30 am, 11:45 am,0.243,Actual,Consumption
1.0089E+21, 11:45 am, 12:00 pm,0.18,Actual,Consumption
1.0089E+21, 12:00 pm, 12:15 pm,0,Actual,Consumption
1.0089E+21, 12:15 pm, 12:30 pm,0,Actual,Consumption
1.0089E+21, 12:30 pm, 12:45 pm,0,Actual,Consumption
1.0089E+21, 12:45 pm, 01:00 pm,0,Actual,Consumption
1.0089E+21, 01:00 pm, 01:15 pm,0,Actual,Consumption
1.0089E+21, 01:15 pm, 01:30 pm,0,Actual,Consumption
1.0089E+21, 01:30 pm, 01:45 pm,0,Actual,Consumption
1.0089E+21, 01:45 pm, 02:00 pm,0.003,Actual,Consumption
1.0089E+21, 02:00 pm, 02:15 pm,0.277,Actual,Consumption
1.0089E+21, 02:15 pm, 02:30 pm,0.09,Actual,Consumption
1.0089E+21, 02:30 pm, 02:45 pm,0,Actual,Consumption
1.0089E+21, 02:45 pm, 03:00 pm,0,Actual,Consumption
1.0089E+21, 03:00 pm, 03:15 pm,0.188,Actual,Consumption
1.0089E+21, 03:15 pm, 03:30 pm,0.251,Actual,Consumption
1.0089E+21, 03:30 pm, 03:45 pm,0.309,Actual,Consumption
1.0089E+21, 03:45 pm, 04:00 pm,0.001,Actual,Consumption
1.0089E+21, 04:00 pm, 04:15 pm,0.093,Actual,Consumption
1.0089E+21, 04:15 pm, 04:30 pm,0.379,Actual,Consumption
1.0089E+21, 04:30 pm, 04:45 pm,1.072,Actual,Consumption
1.0089E+21, 04:45 pm, 05:00 pm,1.113,Actual,Consumption
1.0089E+21, 05:00 pm, 05:15 pm,0.698,Actual,Consumption
1.0089E+21, 05:15 pm, 05:30 pm,0.371,Actual,Consumption
1.0089E+21, 05:30 pm, 05:45 pm,0.445,Actual,Consumption
1.0089E+21, 05:45 pm, 06:00 pm,0.477,Actual,Consumption
1.0089E+21, 06:00 pm, 06:15 pm,0.575,Actual,Consumption
1.0089E+21, 06:15 pm, 06:30 pm,0.508,Actual,Consumption
1.0089E+21, 06:30 pm, 06:45 pm,0.503,Actual,Consumption
1.0089E+21, 06:45 pm, 07:00 pm,0.738,Actual,Consumption
1.0089E+21, 07:00 pm, 07:15 pm,0.374,Actual,Consumption
1.0089E+21, 07:15 pm, 07:30 pm,0.855,Actual,Consumption
1.0089E+21, 07:30 pm, 07:45 pm,0.533,Actual,Consumption
1.0089E+21, 07:45 pm, 08:00 pm,0.943,Actual,Consumption
1.0089E+21, 08:00 pm, 08:15 pm,0.399,Actual,Consumption
1.0089E+21, 08:15 pm, 08:30 pm,0.965,Actual,Consumption
1.0089E+21, 08:30 pm, 08:45 pm,0.644,Actual,Consumption
1.0089E+21, 08:45 pm, 09:00 pm,1.056,Actual,Consumption
1.0089E+21, 09:00 pm, 09:15 pm,0.507,Actual,Consumption
1.0089E+21, 09:15 pm, 09:30 pm,0.976,Actual,Consumption
1.0089E+21, 09:30 pm, 09:45 pm,0.496,Actual,Consumption
1.0089E+21, 09:45 pm, 10:00 pm,0.846,Actual,Consumption
1.0089E+21, 10:00 pm, 10:15 pm,0.368,Actual,Consumption
1.0089E+21, 10:15 pm, 10:30 pm,0.414,Actual,Consumption
1.0089E+21, 10:30 pm, 10:45 pm,0.741,Actual,Consumption
1.0089E+21, 10:45 pm, 11:00 pm,0.953,Actual,Consumption
1.0089E+21, 11:00 pm, 11:15 pm,0.169,Actual,Consumption
1.0089E+21, 11:15 pm, 11:30 pm,0.145,Actual,Consumption
